City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Beira,MZ,84.29,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
501,Benguela,AO,80.55,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
513,Sao Caetano De Odivelas,BR,81.75,heavy intensity rain,-0.75,-48.02,Hotel do Luttis
519,Ilhabela,BR,84.92,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
521,Voh,NC,76.39,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
528,Sambava,MG,81.52,overcast clouds,-14.2667,50.1667,Melrose
535,Morgan City,US,75.0,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
537,Turiacu,BR,81.95,overcast clouds,-1.6633,-45.3717,Pousada Maranata
542,Talara,PE,84.96,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
546,Stabat,ID,80.8,clear sky,3.761,98.4513,Link VII damai
556,Retiro,AR,78.8,broken clouds,-34.5833,-58.3833,Palacio Duhau - Park Hyatt Buenos Aires
557,Muana,BR,88.7,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
558,Homa Bay,KE,76.68,overcast clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
562,Kieta,PG,79.32,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
565,Pointe Michel,DM,86.94,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
570,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
571,Dzilam Gonzalez,MX,82.92,clear sky,21.2833,-88.9333,posadas
573,Taloda,IN,79.61,clear sky,21.5667,74.2167,Churati lodge
578,Gigmoto,PH,78.33,overcast clouds,13.7796,124.39,Cj's Travellers Inn
586,Santa Fe,AR,84.99,light rain,-31.6333,-60.7,Conquistador Hotel
587,Soyo,AO,86.05,broken clouds,-6.1349,12.3689,Hotel Mpampa
595,Soledade,BR,85.42,scattered clouds,-28.8183,-52.5103,Pousada Da Gringa
597,Labuhan,ID,78.39,light rain,-6.8844,112.2051,DoubleFAG
599,Banda Aceh,ID,80.73,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
608,Cape Coast,GH,84.24,scattered clouds,5.1053,-1.2466,Samrit Hotel
610,Kindu,CD,80.71,overcast clouds,-2.95,25.95,Résidence Okanda
614,Itarema,BR,87.71,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
616,Sorong,ID,79.05,moderate rain,-0.8833,131.25,Waigo Splash Hotel
621,Juba,SS,87.35,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
626,Bo Rai,TH,78.76,overcast clouds,12.5728,102.5371,Baiboon Resort
628,Piacabucu,BR,85.64,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
634,Siocon,PH,77.52,overcast clouds,7.7061,122.1353,ABS Hotel
635,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
636,Atar,MR,89.02,overcast clouds,20.5169,-13.0499,Oumou Elghoura
643,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
647,Machiques,VE,88.93,clear sky,10.0644,-72.545,hotel el markes
649,Tandahimba,TZ,75.88,moderate rain,-10.75,39.6333,Azam Rest Home
652,Bangarapet,IN,79.79,broken clouds,12.9667,78.2,HGR Comforts
653,Jambi,ID,75.4,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
656,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
662,Zastron,ZA,77.77,clear sky,-30.3023,27.084,Highlands Guest House
667,Limbe,CM,86.85,broken clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
669,Largo,US,81.01,clear sky,27.9095,-82.7873,Hampton Inn & Suites Largo
670,Dhidhdhoo,MV,82.6,few clouds,6.8833,73.1,Dhidhoo beach
671,Morondava,MG,84.07,clear sky,-20.2833,44.2833,La Case Bambou
672,Tevaitoa,PF,80.37,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
680,Carambei,BR,79.16,overcast clouds,-24.9178,-50.0972,Hotel Wolthuis
681,Manokwari,ID,76.68,very heavy rain,-0.8667,134.0833,Swiss Belhotel Manokwari
682,Kampot,KH,77.05,scattered clouds,10.6167,104.1833,Two Moons Hotel
683,Kismayo,SO,79.03,broken clouds,-0.3582,42.5454,Agan-Hotel
684,Oriximina,BR,88.7,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
