City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Yulin,CN,2022-02-21 16:06:26,22.6333,110.15,44.64,85,100,7.67,overcast clouds
60,Puerto Ayora,EC,2022-02-21 16:06:26,-0.7393,-90.3518,84.16,86,82,5.01,broken clouds
61,Bluff,NZ,2022-02-21 16:06:26,-46.6,168.3333,59.52,65,97,17.4,light rain
62,Bilma,NE,2022-02-21 16:06:27,18.6853,12.9164,81.93,7,0,4.97,clear sky
63,Acapulco,MX,2022-02-21 16:02:02,16.8634,-99.8901,84.06,49,0,2.46,clear sky
64,Chapais,CA,2022-02-21 16:06:27,49.7834,-74.8492,-15.02,79,31,7.58,scattered clouds
65,Filingue,NE,2022-02-21 16:06:27,14.3521,3.3168,91.87,5,40,15.84,scattered clouds
66,Barrow,US,2022-02-21 16:06:28,71.2906,-156.7887,-16.58,69,75,19.57,haze
67,Stornoway,GB,2022-02-21 16:06:28,58.2093,-6.3865,44.92,65,20,3.44,few clouds
68,Victoria,HK,2022-02-21 16:05:33,22.2855,114.1577,52.25,92,100,10.0,light rain
69,Dikson,RU,2022-02-21 16:06:28,73.5069,80.5464,13.42,92,100,17.76,overcast clouds
70,Surt,LY,2022-02-21 16:06:29,31.2089,16.5887,60.73,75,86,13.44,overcast clouds
71,Castro,BR,2022-02-21 16:06:29,-24.7911,-50.0119,81.91,47,94,5.79,overcast clouds
72,Constitucion,CL,2022-02-21 16:01:52,-35.3333,-72.4167,65.62,57,100,8.41,overcast clouds
73,Opotiki,NZ,2022-02-21 16:06:29,-38.0833,177.2833,62.53,94,84,2.73,broken clouds
74,Kruisfontein,ZA,2022-02-21 16:06:30,-34.0033,24.7314,69.89,65,18,14.18,few clouds
75,Souillac,MU,2022-02-21 16:06:30,-20.5167,57.5167,81.36,88,81,20.07,light rain
76,Tambura,SS,2022-02-21 16:06:30,5.6,27.4667,87.42,11,89,5.82,overcast clouds
77,Corner Brook,CA,2022-02-21 16:06:31,48.9667,-57.9484,32.13,87,100,15.05,light snow
78,Kasane,BW,2022-02-21 16:06:31,-17.8167,25.15,75.87,61,81,6.29,broken clouds
79,Kapaa,US,2022-02-21 16:02:11,22.0752,-159.319,63.12,59,43,10.13,scattered clouds
80,Qarqin,AF,2022-02-21 16:06:31,37.4185,66.0436,61.3,30,100,6.42,overcast clouds
81,Torbay,CA,2022-02-21 16:03:19,47.6666,-52.7314,36.57,77,100,8.99,overcast clouds
82,Saint-Philippe,RE,2022-02-21 16:06:32,-21.3585,55.7679,81.99,93,100,32.28,moderate rain
83,Auki,SB,2022-02-21 16:06:32,-8.7676,160.7034,78.22,87,98,2.53,overcast clouds
84,Leningradskiy,RU,2022-02-21 16:06:32,69.3833,178.4167,-33.66,97,55,2.73,broken clouds
85,Padang,ID,2022-02-21 16:06:33,-0.9492,100.3543,78.85,86,100,4.0,overcast clouds
86,Sola,VU,2022-02-21 16:06:33,-13.8833,167.55,82.2,76,50,12.93,scattered clouds
87,Zhigansk,RU,2022-02-21 16:06:33,66.7697,123.3711,-6.61,98,100,15.97,light snow
88,Mnogovershinnyy,RU,2022-02-21 16:06:33,53.9353,139.9242,-14.31,91,72,4.61,broken clouds
89,Nikolskoye,RU,2022-02-21 16:06:34,59.7035,30.7861,33.87,92,100,11.16,light snow
90,East London,ZA,2022-02-21 16:06:34,-33.0153,27.9116,73.9,65,7,8.72,clear sky
91,New Norfolk,AU,2022-02-21 16:07:34,-42.7826,147.0587,48.92,61,59,2.51,broken clouds
92,Vila Velha,BR,2022-02-21 16:07:35,-20.3297,-40.2925,89.55,69,20,16.11,few clouds
93,Kaitangata,NZ,2022-02-21 16:07:35,-46.2817,169.8464,51.94,79,3,5.79,clear sky
94,Nanakuli,US,2022-02-21 16:07:35,21.3906,-158.1547,73.35,80,100,6.91,overcast clouds
95,Butaritari,KI,2022-02-21 16:07:36,3.0707,172.7902,81.54,81,95,20.56,light rain
96,Chimoio,MZ,2022-02-21 16:07:36,-19.1164,33.4833,75.72,76,47,3.85,scattered clouds
97,Saint-Augustin,CA,2022-02-21 16:07:36,51.226,-58.6502,22.5,81,88,19.28,overcast clouds
98,Huarmey,PE,2022-02-21 16:07:37,-10.0681,-78.1522,74.86,77,79,7.49,broken clouds
99,Ryotsu,JP,2022-02-21 16:07:37,38.0833,138.4333,33.46,58,81,22.73,broken clouds
100,Bafq,IR,2022-02-21 16:07:37,31.6128,55.4107,55.67,40,80,7.05,broken clouds
101,Lakes Entrance,AU,2022-02-21 16:07:37,-37.8811,147.981,57.4,69,51,1.77,broken clouds
102,Tabou,CI,2022-02-21 16:07:38,4.423,-7.3528,83.43,74,99,10.47,overcast clouds
103,Nanortalik,GL,2022-02-21 16:07:38,60.1432,-45.2371,13.71,70,5,21.43,clear sky
104,Muros,ES,2022-02-21 16:07:38,42.7762,-9.0603,65.68,54,31,7.43,scattered clouds
105,Upernavik,GL,2022-02-21 16:07:38,72.7868,-56.1549,-19.32,98,100,3.38,overcast clouds
106,Burgeo,CA,2022-02-21 16:07:39,47.6167,-57.6152,33.73,88,100,25.43,light snow
107,Okhotsk,RU,2022-02-21 16:07:39,59.3833,143.3,-12.77,82,12,12.35,few clouds
108,Qaqortoq,GL,2022-02-21 16:07:40,60.7167,-46.0333,3.7,74,0,4.09,clear sky
109,Carlos Chagas,BR,2022-02-21 16:07:40,-17.7031,-40.7664,89.06,47,28,3.11,scattered clouds
110,Saskylakh,RU,2022-02-21 16:07:40,71.9167,114.0833,8.04,95,95,5.5,overcast clouds
111,Paarl,ZA,2022-02-21 16:07:41,-33.7338,18.9752,74.25,46,0,8.81,clear sky
112,North Platte,US,2022-02-21 16:07:41,41.1239,-100.7654,15.69,67,100,24.16,overcast clouds
113,Lompoc,US,2022-02-21 16:07:41,34.6391,-120.4579,53.13,68,100,12.66,overcast clouds
114,Rocha,UY,2022-02-21 16:07:42,-34.4833,-54.3333,76.62,64,70,16.13,broken clouds
115,Ayan,RU,2022-02-21 16:07:42,56.45,138.1667,-8.41,79,17,9.62,few clouds
116,Hay River,CA,2022-02-21 16:05:23,60.8156,-115.7999,-25.71,100,95,6.15,overcast clouds
117,Tutoia,BR,2022-02-21 16:07:42,-2.7619,-42.2744,89.58,59,46,14.09,light rain
118,Abu Dhabi,AE,2022-02-21 16:03:01,24.4667,54.3667,68.97,63,0,21.77,clear sky
119,Hilo,US,2022-02-21 16:07:43,19.7297,-155.09,70.79,86,40,6.91,scattered clouds
120,San Pedro,PH,2022-02-21 16:07:43,14.35,121.0167,80.31,78,100,10.02,overcast clouds
121,Mayo,US,2022-02-21 16:07:43,38.8876,-76.5119,57.11,39,0,5.01,clear sky
122,Vostok,RU,2022-02-21 16:07:44,46.4856,135.8833,0.12,98,100,3.04,light snow
123,Vallenar,CL,2022-02-21 16:07:44,-28.5708,-70.7581,80.98,32,0,10.85,clear sky
124,Terrace,CA,2022-02-21 16:07:44,54.5163,-128.6035,10.15,91,74,4.56,broken clouds
125,Samsun,TR,2022-02-21 16:07:44,41.25,36.3333,43.56,93,0,3.44,clear sky
126,Severo-Kurilsk,RU,2022-02-21 16:07:45,50.6789,156.125,31.89,96,100,43.98,snow
127,General Roca,AR,2022-02-21 16:07:45,-39.0333,-67.5833,56.62,54,100,25.64,light rain
128,Lodwar,KE,2022-02-21 16:07:45,3.1191,35.5973,92.77,26,100,6.11,overcast clouds
129,Kavaratti,IN,2022-02-21 16:07:46,10.5669,72.642,81.61,65,47,11.45,scattered clouds
