City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Guymon,US,2022-02-19 17:23:06,36.6828,-101.4816,49.48,37,0,10.36
67,Wanning,CN,2022-02-19 17:23:07,18.8003,110.3967,62.87,89,100,14.63
68,Camacha,PT,2022-02-19 17:23:07,33.0833,-16.3333,57.96,58,75,16.11
69,Yurga,RU,2022-02-19 17:21:10,55.7231,84.8861,-0.92,100,82,5.44
70,Zaria,NG,2022-02-19 17:23:08,11.1113,7.7227,85.23,8,42,11.74
71,Rawson,AR,2022-02-19 17:20:52,-43.3002,-65.1023,74.59,48,5,19.1
72,Mataura,NZ,2022-02-19 17:23:08,-46.1927,168.8643,41.49,95,6,1.74
73,Lompoc,US,2022-02-19 17:22:14,34.6391,-120.4579,70.09,80,0,3.44
74,Hambantota,LK,2022-02-19 17:23:09,6.1241,81.1185,78.13,86,39,9.89
75,Yumen,CN,2022-02-19 17:23:09,40.2833,97.2,18.1,36,0,6.8
76,Klaksvik,FO,2022-02-19 17:23:09,62.2266,-6.589,23.92,55,73,8.55
77,Pontypool,GB,2022-02-19 17:23:10,51.7011,-3.0444,49.46,81,96,19.51
78,Port Elizabeth,ZA,2022-02-19 17:18:12,-33.918,25.5701,78.1,83,0,11.5
79,Ingham,US,2022-02-19 17:23:10,42.6,-84.3833,19.9,61,75,17.27
80,Vardo,NO,2022-02-19 17:23:11,70.3705,31.1107,27.19,69,100,26.37
81,Bandarbeyla,SO,2022-02-19 17:23:11,9.4942,50.8122,75.76,71,0,17.94
82,Arraial Do Cabo,BR,2022-02-19 17:23:12,-22.9661,-42.0278,80.46,74,75,5.75
83,Bluff,NZ,2022-02-19 17:23:12,-46.6,168.3333,41.81,79,24,8.75
84,Vostok,RU,2022-02-19 17:23:13,46.4856,135.8833,-4.81,100,90,2.28
85,Adrar,MR,2022-02-19 17:24:13,20.5022,-10.0711,82.67,15,64,9.35
86,Saint-Philippe,RE,2022-02-19 17:24:14,-21.3585,55.7679,80.19,93,100,22.82
87,Bengkulu,ID,2022-02-19 17:24:14,-3.8004,102.2655,77.25,86,95,3.6
88,Bubaque,GW,2022-02-19 17:19:52,11.2833,-15.8333,78.13,64,40,18.41
89,Bitung,ID,2022-02-19 17:24:15,1.4451,125.1824,76.05,88,100,9.8
90,Tilichiki,RU,2022-02-19 17:24:15,60.4667,166.1,-16.8,94,7,10.78
91,Evensk,RU,2022-02-19 17:24:15,61.95,159.2333,-1.41,70,83,12.41
92,Mahebourg,MU,2022-02-19 17:24:16,-20.4081,57.7,80.26,100,75,18.41
93,Kahului,US,2022-02-19 17:19:41,20.8947,-156.47,73.85,87,20,3.44
94,Havre,FR,2022-02-19 17:24:16,49.5833,0.3333,47.44,81,100,26.46
95,Yar-Sale,RU,2022-02-19 17:24:16,66.8333,70.8333,26.02,94,100,18.54
96,Lewiston,US,2022-02-19 17:21:45,44.1003,-70.2148,32.76,62,88,3.0
97,Saskylakh,RU,2022-02-19 17:24:17,71.9167,114.0833,-25.13,98,19,8.01
98,Severo-Kurilsk,RU,2022-02-19 17:24:17,50.6789,156.125,26.92,77,92,6.13
99,Margate,GB,2022-02-19 17:24:17,51.3813,1.3862,50.11,83,100,11.01
100,Tautira,PF,2022-02-19 17:24:18,-17.7333,-149.15,75.22,75,50,14.0
101,Mar Del Plata,AR,2022-02-19 17:24:18,-38.0023,-57.5575,71.62,92,75,17.0
102,Luganville,VU,2022-02-19 17:24:18,-15.5333,167.1667,79.45,85,89,5.79
103,Inongo,CD,2022-02-19 17:24:19,-1.95,18.2667,76.86,78,100,6.49
104,Khani,GE,2022-02-19 17:24:19,41.9563,42.9566,38.77,93,82,3.15
105,East London,ZA,2022-02-19 17:24:19,-33.0153,27.9116,76.14,83,20,3.44
106,Nalut,LY,2022-02-19 17:24:20,30.3333,10.85,65.61,15,89,10.45
107,Hobbs,US,2022-02-19 17:24:20,32.7026,-103.136,56.19,24,0,13.8
108,Aleksandrovskoye,RU,2022-02-19 17:24:20,44.7142,43.0008,42.94,83,96,9.48
109,Great Yarmouth,GB,2022-02-19 17:24:21,52.6083,1.7305,47.34,76,100,23.87
110,Tera,NE,2022-02-19 17:24:21,14.0078,0.7531,96.53,7,5,11.14
111,Hithadhoo,MV,2022-02-19 17:24:21,-0.6,73.0833,82.29,70,82,8.14
112,Nikolskoye,RU,2022-02-19 17:24:22,59.7035,30.7861,34.88,100,100,0.65
113,Kaitangata,NZ,2022-02-19 17:24:22,-46.2817,169.8464,48.92,91,4,3.89
114,Berdigestyakh,RU,2022-02-19 17:24:23,62.0989,126.6992,-18.33,100,100,2.15
115,Flinders,AU,2022-02-19 17:24:23,-34.5833,150.8552,67.21,82,30,5.99
116,Tezu,IN,2022-02-19 17:24:23,27.9167,96.1667,59.2,64,63,4.27
117,Carnarvon,AU,2022-02-19 17:23:45,-24.8667,113.6333,87.87,58,69,12.66
118,Bay Roberts,CA,2022-02-19 17:24:24,47.5999,-53.2648,30.65,61,40,7.0
119,Norman Wells,CA,2022-02-19 17:22:28,65.282,-126.8329,-16.56,76,75,4.61
120,Kavieng,PG,2022-02-19 17:21:06,-2.5744,150.7967,82.04,80,98,14.34
121,Castro,BR,2022-02-19 17:20:56,-24.7911,-50.0119,78.57,44,4,5.3
122,Hilo,US,2022-02-19 17:19:49,19.7297,-155.09,70.25,85,40,6.91
123,Meulaboh,ID,2022-02-19 17:24:24,4.1363,96.1285,78.82,84,27,3.13
124,Concepcion Del Uruguay,AR,2022-02-19 17:24:25,-32.4825,-58.2372,89.98,44,27,4.0
125,Nanganga,TZ,2022-02-19 17:24:25,-10.3833,39.15,76.17,92,88,1.57
126,Bud,US,2022-02-19 17:24:25,39.447,-86.1758,29.3,54,3,13.98
127,Tocopilla,CL,2022-02-19 17:24:25,-22.092,-70.1979,74.07,69,5,4.05
